City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mindelo,CV,16.8901,-24.9804,70.54,74,8,7.45,clear sky
1,Poum,NC,-20.2333,164.0167,81.91,84,100,20.02,moderate rain
2,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
3,Mataura,NZ,-46.1927,168.8643,65.12,50,5,0.74,clear sky
4,Harqalah,TN,36.0303,10.509,57.06,71,40,9.22,scattered clouds
5,Sitka,US,57.0531,-135.33,42.69,65,75,8.05,broken clouds
6,Nikolskoye,RU,59.7035,30.7861,28.8,94,66,3.74,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,77.43,65,100,9.6,overcast clouds
8,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.28,83,49,8.72,scattered clouds
9,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.64,92,0,6.58,clear sky
10,Hobart,AU,-42.8794,147.3294,68.05,75,40,8.05,scattered clouds
11,Natal,BR,-5.795,-35.2094,75.85,100,75,4.61,broken clouds
12,Bluff,NZ,-46.6,168.3333,58.37,71,42,7.05,scattered clouds
13,Chuy,UY,-33.6971,-53.4616,63.52,94,6,4.52,clear sky
14,Kisangani,CD,0.5167,25.2,68.41,99,100,2.15,moderate rain
15,Khatanga,RU,71.9667,102.5,-20.81,100,92,2.75,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,37.06,87,20,11.5,few clouds
17,Yellowknife,CA,62.456,-114.3525,25.41,64,100,15.99,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.8,69,5,4.79,clear sky
19,Charters Towers,AU,-20.1,146.2667,86.13,52,38,7.23,scattered clouds
20,Sosva,RU,59.1766,61.8558,38.68,98,100,8.57,overcast clouds
21,Baruun-Urt,MN,46.6806,113.2792,40.55,41,11,10.6,few clouds
22,New Norfolk,AU,-42.7826,147.0587,67.71,62,58,2.35,broken clouds
23,Mehamn,NO,71.0357,27.8492,23.32,65,98,10.65,light snow
24,Severo-Kurilsk,RU,50.6789,156.125,34.09,90,23,10.98,few clouds
25,Beira,MZ,-19.8436,34.8389,75.31,84,6,5.46,clear sky
26,Atagay,RU,55.1033,99.3875,26.47,69,17,4.38,few clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-10.75,94,96,5.82,overcast clouds
28,Georgetown,MY,5.4112,100.3354,80.53,83,20,3.44,few clouds
29,Victoria,HK,22.2855,114.1577,71.65,43,0,11.01,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,16.11,scattered clouds
31,Ribeira Grande,PT,38.5167,-28.7,60.04,76,100,13.27,overcast clouds
32,Kaitangata,NZ,-46.2817,169.8464,63.59,55,0,1.68,clear sky
33,Airai,TL,-8.9266,125.4092,70.75,55,10,2.66,clear sky
34,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,19.57,clear sky
35,Mongoumba,CF,3.6415,18.5936,70.93,94,100,1.43,overcast clouds
36,Torbay,CA,47.6666,-52.7314,35.58,87,8,5.01,clear sky
37,Hilo,US,19.7297,-155.09,78.53,80,100,12.66,moderate rain
38,Faanui,PF,-16.4833,-151.75,82.18,69,10,11.81,clear sky
39,Albany,US,42.6001,-73.9662,37.63,90,100,1.01,light rain
40,Saldanha,ZA,-33.0117,17.9442,59.49,91,0,10.16,clear sky
41,Aqtobe,KZ,50.2797,57.2072,41.09,75,40,11.18,scattered clouds
42,Pochutla,MX,15.7432,-96.4661,82.81,57,0,6.06,clear sky
43,San Cristobal,VE,7.7669,-72.225,68.18,80,58,2.89,broken clouds
44,Tiksi,RU,71.6872,128.8694,6.13,93,100,8.46,overcast clouds
45,Saint-Louis,SN,16.3333,-15.0,66.22,57,93,16.06,overcast clouds
46,Sorland,NO,67.667,12.6934,31.89,87,63,24.96,light snow
47,Huarmey,PE,-10.0681,-78.1522,69.84,84,82,8.79,broken clouds
48,Burnie,AU,-41.0667,145.9167,68.5,54,2,6.15,clear sky
49,Prince Rupert,CA,54.3161,-130.3201,41.09,81,75,10.36,broken clouds
50,Port Alfred,ZA,-33.5906,26.891,66.18,90,66,7.45,broken clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,100,8.01,overcast clouds
52,Kapaa,US,22.0752,-159.319,82.38,71,40,19.57,scattered clouds
53,Broken Hill,AU,-31.95,141.4333,68.32,40,0,4.41,clear sky
54,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,19.57,scattered clouds
55,Vila Velha,BR,-20.3297,-40.2925,78.75,89,40,2.3,scattered clouds
56,Bima,ID,-8.4667,118.7167,82.72,76,32,2.13,scattered clouds
57,Rubtsovsk,RU,51.5,81.25,34.75,79,100,8.28,overcast clouds
58,Dikson,RU,73.5069,80.5464,0.5,96,82,9.19,broken clouds
59,Nanortalik,GL,60.1432,-45.2371,35.2,81,100,5.37,overcast clouds
60,Wajima,JP,37.4,136.9,50.65,74,18,12.03,few clouds
61,Berbera,SO,10.4396,45.0143,79.68,81,5,3.04,clear sky
62,Lillooet,CA,50.6856,-121.942,47.34,71,79,5.99,broken clouds
63,Hofn,IS,64.2539,-15.2082,34.02,80,100,16.15,overcast clouds
64,Atuona,PF,-9.8,-139.0333,79.47,76,4,21.18,clear sky
65,Sirnak,TR,37.5228,42.4594,50.4,51,100,5.82,overcast clouds
66,Fortuna,US,40.5982,-124.1573,56.93,65,0,10.36,clear sky
67,Cape Town,ZA,-33.9258,18.4232,59.92,78,28,5.99,scattered clouds
68,Santa Rosa,PH,14.3122,121.1114,86.09,65,74,15.59,broken clouds
69,Verkhoyansk,RU,67.5447,133.385,4.5,91,100,3.47,overcast clouds
70,Padang,ID,-0.9492,100.3543,75.25,70,5,3.18,clear sky
71,Lagoa,PT,39.05,-27.9833,58.89,75,93,15.14,overcast clouds
72,La Peca,PE,-5.6111,-78.435,69.69,84,37,3.8,scattered clouds
73,Jamestown,US,42.097,-79.2353,35.19,71,100,13.8,overcast clouds
